PK,NOMBRE,HORARIO,TRANSPORTE,EQUIPAMIENTO,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO
10107702,Sala de estudio y lectura Escritor Pedro de Répide (Latina),De lunes a viernes de 9:30 a 21 horas. Sábados de 10 a 13 horas. Verano: de lunes a viernes de 9:30 a 20 horas. Sábados de julio y septiembre cerrado.Agosto cerrado.,"Bus: 119, 138",Puestos de lectura: 16Zona wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5e0861366ded5510VgnVCM1000001d4a900aRCRD,MARIA DEL CARMEN,CALLE,V,65,,,,,MADRID,MADRID,28011,PUERTA DEL ANGEL,LATINA,437830,4473132,404.064.738.928.498,-37.327.010.920.242,914 649 304,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.064.738.928.498,-37.327.010.920.242"
8041409,Sala de estudio y lectura José Luis Sampedro (Latina),"Habitual: de lunes a viernes, de 9 a 21:30 horas, sábados de 9 a 13:30 horas.Verano: de lunes a viernes, de 9 a 20:30 horas, sábados de 9 a 13:30 horas.Cerrado del 1 al 25 agosto.","Metro: Laguna (línea 6), Lucero (línea 6).Bus: 55.Renfe: Laguna (C5)",Puestos de lectura: 54.Zona wifi.,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3e91f61dd74d410VgnVCM1000000b205a0aRCRD,CASTROSERNA,CALLE,V,4,,,,,MADRID,MADRID,28047,LUCERO,LATINA,436428,4472623,40.401.791.822.856,-37.491.601.722.548,915 267 820 / 915 267 821,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/40.401.791.822.856,-37.491.601.722.548"
10107309,Sala de estudio y lectura Maqueda (Latina),"Horario habitual: de lunes a viernes, de 8 a 22 horas y sábados, de 9 a 14 horas.Cerrado de 15 de julio a 15 de agosto.","Metro: Campamento (línea 5), Empalme (línea 10). Bus: 121, 25.",Puestos de lectura: 68.,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=afacaea7089d5510VgnVCM1000001d4a900aRCRD,MAQUEDA,CALLE,V,5,,,,,MADRID,MADRID,28024,ALUCHE,LATINA,435108,4471845,403.946.826.466.726,-376.462.574.277.251,917 110 369,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.946.826.466.726,-376.462.574.277.251"
8041448,Sala de estudio y lectura Miguel Hernández (Latina),"De lunes a viernes de 9 a 22 horas, sábados de 9 a 14 horas.Julio, agosto (cerrado del 1 al 26) y septiembre, de lunes a viernes, de 9 a 21 horas.","Bus: 34, 117, 139, 39.Cercanías Renfe: Las Aguilas (C5).",Puestos de lectura: 42.,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b3431f61dd74d410VgnVCM1000000b205a0aRCRD,SERRADILLA,CALLE,V,13,,,,,MADRID,MADRID,28044,LAS AGUILAS,LATINA,433622,4470101,403.788.537.971.283,-378.196.161.130.321,917 066 300,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.788.537.971.283,-378.196.161.130.321"
10107172,Sala de estudio y lectura Paseo de Extremadura (Latina),"Horario habitual: de lunes a viernes, de 8 a 22 horas y sábados, de 9 a 14 horas. Cerrado de 15 de julio a 15 de agosto.","Metro: Alto de Extremadura (línea 6). Bus: 31, 33, 36, 39, 65.",Puestos de lectura: 48.,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ae857f23530d5510VgnVCM2000001f4a900aRCRD,EXTREMADURA,PASEO,V,128,,,,,MADRID,MADRID,28011,PUERTA DEL ANGEL,LATINA,437569,4473648,404.111.117.892.647,-373.581.574.161.573,914 634 249,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.111.117.892.647,-373.581.574.161.573"
8041514,Sala de estudio y lectura Sara Montiel (Latina),"Horario habitual: de lunes a viernes de 9 a 21:30 horas. Sábados de 9:30 a 13:30 horas.Verano: de lunes a viernes, de 9:30 a 20:45 horas. Cerrado agosto, excepto ultima semana.","Metro: Colonia Jardín (líneas 10, ML2, ML3).Bus: 65, H.",Puestos de lectura: 54.Zona wifi.,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2cfd68daae74d410VgnVCM1000000b205a0aRCRD,BOADILLA DEL MONTE,CARRETERA,V,40,,,,,MADRID,MADRID,28024,CAMPAMENTO,LATINA,434937,4472307,403.988.300.080.749,-376.669.699.619.217,915 120 890,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.988.300.080.749,-376.669.699.619.217"
10415134,Sala de estudio Aravaca (Moncloa-Aravaca),"De lunes a viernes, de 8:30 a 21:30 horas.Sábados, domingos y festivos de 10 a 21:30 horas.","Bus: 160, 161.",,Puestos de lectura: 32.Zona wifi.,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4b308cfd9a8ec510VgnVCM2000001f4a900aRCRD,ZARZA,CALLE,V,20,,,,,MADRID,MADRID,28023,ARAVACA,MONCLOA-ARAVACA,433370,4478937,404.584.310.355.333,-378.585.566.713.909,917 400 880 / 917 400 882,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.584.310.355.333,-378.585.566.713.909"
4813757,Sala de estudio Julio Cortázar (Moncloa-Aravaca),"De lunes a viernes de 9 a 21 horas. Sábados, domingos y festivos, de 10 a 14 horas y de 15 a 21 horas.San Isidro: De 10 a 14 y de 15 a 21 horas.","Metro: Valdezarza y Antonio Machado (línea 7).Bus: 127, 132, 126.",,Puestos de lectura: 125.Zona wifi.,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=53918917a2058110VgnVCM2000000c205a0aRCRD,ANTONIO MACHADO,CALLE,V,20,,,,Ubicada en el Centro Cultural Julio Cortázar,MADRID,MADRID,28035,VALDEZARZA,MONCLOA-ARAVACA,438998,4479816,40.466.781.590.963,-371.956.691.118.917,913 734 375,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/40.466.781.590.963,-371.956.691.118.917"
4815051,Sala de estudio Centro Sociocultural Moratalaz,"Lunes a viernes, de 9 a 14 y de 15 a 21 horas. Sábados, de 10 a 14 y de16 a 22 horas.Domingos y festivos, de 10 a 14 horas. Julio: De lunes a viernes, de 9 a 14 y de 15 a 21 horas. Sábados, de 10 a 14  y de 16 a 22 horas.Domingos y festivos: Cerrado. Agosto: Cerrado.","Metro: Pavones (línea 9)Bus: 142, 144, 8, 20, 32",Puestos de lectura: 82Zona wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=32c2b51383558110VgnVCM1000000b205a0aRCRD,FUENTE CARRANTONA,CALLE,V,10,,,,,MADRID,MADRID,28030,PAVONES,MORATALAZ,445953,4472221,403.988.340.333.069,-363.689.814.285.589,915 887 435 / 915 880 459,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.988.340.333.069,-363.689.814.285.589"
5709413,Sala de estudio Centro cultural El Torito (Moratalaz),"De octubre a junio, de lunes a viernes, de 9 a 13:30 y de 15:30 a 21:30 horas. Sábados, de 9 a 13:30 y de 16:30 a 21:30. Julio, de lunes a viernes, 9 a 13:30 y de 17 a 19:30 horas. Cerrado 16 a 31 julio y todo agosto. Septiembre, de lunes a viernes de 9 a 13:30 y de 17 a 19:30 horas. Sábados de 9:30 a 13:30 y de 16:30 a 21:30.","Metro: Artilleros (línea 9)Bus: 32, 71",,Puestos de lectura: 24,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3874efd1977f8210VgnVCM1000000b205a0aRCRD,MORATALAZ,AVENIDA,V,130,,,,,MADRID,MADRID,28030,VINATEROS,MORATALAZ,445141,4473033,404.060.959.185.717,-364.653.610.706.351,913 287 385,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.060.959.185.717,-364.653.610.706.351"
4814996,Sala de estudio Centro Sociocultural Talleres de Creatividad (Puente de Vallecas),"Jueves a viernes, de 13:30 a 17 horasAgosto cerrado","Metro: Nueva Numancia, Portazgo (línea 1)Bus: 10, 24, 57, 103, 111, 310",,Puestos de lectura: 22Zona wifi,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ada6f5fea2558110VgnVCM1000000b205a0aRCRD,SIERRA CARBONERA,CALLE,V,74,,,,Ubicada en el Centro Cultural Talleres de Creatividad,MADRID,MADRID,28053,SAN DIEGO,PUENTE DE VALLECAS,443532,4471268,403.900.972.829.189,-366.532.906.372.478,917 570 189 / 917 570 240,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.900.972.829.189,-366.532.906.372.478"
8000760,Sala de estudio Centro cultural Lope de Vega (Puente de Vallecas),"De lunes a viernes, de 8:30 a 21:30 horas, salvo festivosAgosto, de lunes a viernes no festivos, de 8:30 a 14:30 horas.","Renfe: Asamblea de Madrid-EntrevíasBus: 24, 102, 103, 111,144",Puestos de lectura: 32Zona wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a190e189b66dc410VgnVCM2000000c205a0aRCRD,CONCEJO DE TEVERGA,CALLE,V,1,2.ª Aula 5,,,Ubicada en el centro Cultural Lope de Vega,MADRID,MADRID,28053,ENTREVIAS,PUENTE DE VALLECAS,442974,4470850,403.862.936.848.019,-367.186.580.066.619,917 570 580,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.862.936.848.019,-367.186.580.066.619"
5753771,Salas de estudio Centro Cultural Pozo del tío Raimundo (Puente de Vallecas),"De lunes a viernes, de 15 a 18 horas.Sábados, de 10  a 13:45 y de 16 a 19:45 horas.Domingos y festivos, de 10 a 13:45 horas.Agosto cerrado.","Renfe: El PozoBus: 24, 102, 103, 310",Puestos de lectura: 40Zona wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a831c35f67a9210VgnVCM1000000b205a0aRCRD,DE LAS GLORIETAS,AVENIDA,V,19,,,,Ubicada en el Centro Cultural El Pozo,MADRID,MADRID,28053,ENTREVIAS,PUENTE DE VALLECAS,443950,4469433,403.735.856.436.473,-366.025.460.649.054,917 866 372 / 917 866 644,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.735.856.436.473,-366.025.460.649.054"
7989332,Sala de estudio y lectura del Centro Cultural Las Californias (Retiro),"De lunes a viernes, de 9 a 14 y de 16 a 22 horas.Sábados, de 10 a 14 y de 16 a 21 horas.Domingos y festivos: cerrado.","Metro: Puente de Vallecas (línea 1) , Mendez Álvaro (línea 6).Bus: 113, 148.Cercanías RENFE: Mendez Álvaro Estación Sur (líneas C1, C5, C7, C10, Regional).","Puestos de lectura: 68.Zona wifi.Atención básica en lengua de signos (de lunes a viernes, por la mañana).",,"1,4",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1626bbe4eb1cc410VgnVCM1000000b205a0aRCRD,LUIS PEIDRO,CALLE,V,2,,,,ubicada en el Centro Cultural Luis Peidró,MADRID,MADRID,28007,ADELFAS,RETIRO,442841,4472041,403.970.137.746.943,-367.353.955.963.616,915 016 942,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.970.137.746.943,-367.353.955.963.616"
7988710,Salas de estudio Centro cultural Mercado de Ibiza (Retiro),"De lunes a viernes, de 9 a 14 y de 16.30 a 20.30 horas. Sábados de 9 a 14 horas.Agosto cerrado.","Metro: Ibiza (línea 9).Bus: 15, 2, 215, 26, 61, 63, C1, C2, 152, 20.Bicimad: Estación 181 (calle ibiza, 18).",Dos salas de estudio y lectura: Puestos de lectura: 38 y 18.Zona wifi.Atención básica en lengua de signos (mañanas de lunes a viernes).,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ddfec642771cc410VgnVCM1000000b205a0aRCRD,IBIZA,CALLE,V,8,1ª,,,ubicada en el Centro Cutural Mercado de Ibiza,MADRID,MADRID,28009,IBIZA,RETIRO,442533,4474392,404.181.716.460.474,-367.738.097.570.214,915 572 601,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.181.716.460.474,-367.738.097.570.214"
4816516,"Sala de estudio Centro cultural Rafael Altamira, antes Palacete Quinta del Berro (Salamanca)","De lunes a viernes, de 9 a 21:30 horas. Sábados, de 9:30 a 21:30 horas. Domingos, de 10:30 a 20:30 horas.Verano, de lunes a domingo, de 10.30 a 19.30 horas.","Bus: 15, 28, 71",,Puestos de lectura: 40Zona wifi,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1947371b6e958110VgnVCM1000000b205a0aRCRD,ENRIQUE D'ALMONTE,CALLE,V,1,,,,ubicada en el Centro Cultural Quinta del Berro,MADRID,MADRID,28028,FUENTE DEL BERRO,SALAMANCA,443760,4474815,404.220.660.875.363,-366.295.628.862.848,915 570 807 / 915 570 808,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.220.660.875.363,-366.295.628.862.848"
5753512,Sala de estudio Maestro Alonso (Salamanca),"De lunes a viernes,  de 10:30 a 13:30 y de 17 a 20 horas.Verano (15 Junio a 15 Septiembre): cerrada, excepto período de exámenes.Habilitado todo el verano para lectura de prensa.","Metro: Ventas (líneas 5, 2)Bus: 21, 53, 38, 106, 110, 146, 210",,Puestos de lectura: 26Zona wifi,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e894be85b37a9210VgnVCM1000000b205a0aRCRD,MAESTRO ALONSO,CALLE,V,6,,,,(ubicada en el Centro Cultural Maestro Alonso),MADRID,MADRID,28028,FUENTE DEL BERRO,SALAMANCA,443605,4475629,404.293.885.403.279,-366.485.551.111.075,913 560 807 / 917 268 800,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.293.885.403.279,-366.485.551.111.075"
8071938,Sala de estudio José Luis López Vázquez (San Blas - Canillejas),"De lunes a viernes, de 9 a 14 horas y de 15 a 21 horas.Agosto cerrado.",Bus: 77,,Puestos de lectura: 152Zona wifi,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9db676e159ead410VgnVCM1000000b205a0aRCRD,FEBRERO,CALLE,V,4,En la 2ª Planta del edificio,,,ubicada en el Centro Cultural Jose Luis López Vázquez,MADRID,MADRID,28022,REJAS,SAN BLAS-CANILLEJAS,451431,4477509,404.468.185.923.003,-357.274.116.382.091,913 293 900,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.468.185.923.003,-357.274.116.382.091"
8071910,Salas de estudio Miguel de Cervantes (San Blas - Canillejas),"De lunes a viernes, de 10 a 21 horas.Sábados, domingos y festivos, de 10 a 14:30  y de 16:30 a 20 horas.","Bus: 48, 140, 28",,Puestos de lectura: 126Zona wifi,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4ef476e159ead410VgnVCM1000000b205a0aRCRD,ALIAGA,CALLE,V,5,,,,ubicada en el Centro Cultural Miguel de Cervantes,MADRID,MADRID,28022,CANILLEJAS,SAN BLAS-CANILLEJAS,448148,4476402,404.366.477.877.682,-361.136.297.056.488,917 430 078,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.366.477.877.682,-361.136.297.056.488"
6468021,Sala de estudio Luis García Berlanga (Tetuán),"De lunes a domingo, de 9 a 21 horas (festivos cerrado).","Metro: Valdeacederas (línea 1)Bus: 49 , 66, 124",Puestos de lectura: 98Zona wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f5abe23a26bd7310VgnVCM1000000b205a0aRCRD,VIÑA VIRGEN,CALLE,V,2,,,,,MADRID,MADRID,28029,ALMENARA,TETUAN,441159,4479632,404.652.708.346.969,-369.407.265.090.617,915 133 253,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/404.652.708.346.969,-369.407.265.090.617"
6953036,Sala de estudio Centro Cultural Juvenil de Usera,"De lunes a viernes, de 9 a 14 y de 16 a 21 horas.Agosto cerrado.","Metro: Usera (línea 6)Bus: 55, 60",Puestos de lectura: 20Zona wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9749b68f981ce310VgnVCM1000000b205a0aRCRD,CUESTA,CALLE,V,4,,,,En el Centro Cultural Juvenil de Usera,MADRID,MADRID,28026,MOSCARDO,USERA,439956,4471270,403.898.561.308.746,-370.747.187.905.383,913 920 541,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.898.561.308.746,-370.747.187.905.383"
4814317,Sala de estudio Centro sociocultural Cánovas del Castillo (Usera),De lunes a viernes de 9 a 14 y de 15 a 21:30 horas. Sábados de 9 a 14 horas.Agosto cerrado.,"Metro: Almendrales (línea 3)Bus: 47, 247, 6, 78, 18, 22, 59, 76, 79, 85, 86, 23",Puestos de lectura: 44Zona wifi,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b10c750b1c058110VgnVCM2000000c205a0aRCRD,JULIO AGUIRRE,CALLE,V,10,,,,y 12,MADRID,MADRID,28026,ALMENDRALES,USERA,440579,4470866,403.862.614.333.209,-37.000.825.227.295,915 005 489,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.862.614.333.209,-37.000.825.227.295"
4815363,Sala de estudio Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),Consultar telefonicamente,Metro: Villa de Vallecas (línea 1)Bus: 58,,Puestos de lectura: 40,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=af2192cfd9558110VgnVCM1000000b205a0aRCRD,REAL DE ARGANDA,CALLE,V,39,,,,,MADRID,MADRID,28031,SANTA EUGENIA,VILLA DE VALLECAS,447634,4470066,40.379.536.824.272,-361.690.158.560.319,913 052 448,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/40.379.536.824.272,-361.690.158.560.319"
4815257,Sala de estudio Los Rosales,Consultar telefónicamente.,Bus: 85 Renfe: Villaverde Bajo,Puestos de lectura: 32,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1bcbc1e158558110VgnVCM1000000b205a0aRCRD,LOS ROSALES,AVENIDA,V,133,,,,,MADRID,MADRID,28021,BUTARQUE,VILLAVERDE,442592,4467116,403.507.479.743.351,-367.730.644.219.692,917 109 273,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.507.479.743.351,-367.730.644.219.692"
4815260,Sala de estudio Marconi,Consultar telefónicamente.,Bus: 79,Puestos de lectura: 16,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fcffc1e158558110VgnVCM1000000b205a0aRCRD,COLONIA MARCONI,ACCESO,V,4,,,,,MADRID,MADRID,28021,SAN ANDRES,VILLAVERDE,440582,4465356,403.347.518.321.138,-37.008.095.609.216,917 100 232,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.347.518.321.138,-37.008.095.609.216"
5753811,Sala de estudio San Cristóbal,Consultar telefónicamente.,"Metro: Villaverde Alto (línea 3) Bus: 59, 79",Puestos de lectura: 40,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4ae90a3bb87a9210VgnVCM1000000b205a0aRCRD,PINAZO,PLAZA,V,9,,,,,MADRID,MADRID,28021,SAN CRISTOBAL,VILLAVERDE,441384,4466229,40.342.673.170.995,-369.144.873.805.088,917 100 410,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/40.342.673.170.995,-369.144.873.805.088"
4815268,Sala de estudio Santa Petronila,Consultar telefónicamente.,"Metro: Villaverde Bajo Cruce (línea 3)  Bus: 59, 79, 85 Renfe: Villaverde Bajo",Puestos de lectura: 15,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b65c1e158558110VgnVCM1000000b205a0aRCRD,MARIA MARTINEZ OVIOL,CALLE,V,12,,,,,MADRID,MADRID,28021,LOS ROSALES,VILLAVERDE,441386,4467139,403.508.711.416.228,-369.150.890.925.519,917 109 710,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.508.711.416.228,-369.150.890.925.519"
4815242,Sala de estudio Ágata,Consultar telefónicamente.,"Bus: 22, 79, 86, 130, 131",Puestos de lectura: 25,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a760c4d87558110VgnVCM1000000b205a0aRCRD,DOCTOR MARTIN AREVALO,CALLE,V,2,,,,,MADRID,MADRID,28021,SAN ANDRES,VILLAVERDE,439937,4466650,403.463.626.833.418,-370.852.439.589.738,917 109 300,,,/contenido/entidadesYorganismos/SalasEstudioLectura,"http://www.google.com/maps/place/403.463.626.833.418,-370.852.439.589.738"